Date,Close,High,Low,Open,Volume,Return,LogReturn,MA_5,MA_20,STD_5,STD_20,Momentum,Volatility,RSI,MACD_Hist,BB_Width,ATR,ATR_norm,GARCH_Vol,Regime,Signal,ML_Proba,ML_Signal
5/8/2020,9251.5,9382.650391,9238.200195,9376.950195,609100,0.005701697,0.005685504,9244.109961,9211.7625,41.00359929,235.8686359,-62.40039063,0.024719806,49.34868193,44.85169173,9.982728436,314.1030696,0.033951583,0.014117735,3,-1,0.0938141,0
5/11/2020,9239.200195,9439.900391,9219.950195,9348.150391,704600,-0.001329493,-0.001330378,9233.25,9236.28501,30.49678958,209.1828005,84.79980469,0.024026721,49.11792369,34.64024464,8.829791351,307.3778643,0.033268882,0.014117735,3,-1,0.15121803,0
5/12/2020,9196.549805,9240.849609,9043.950195,9168.849609,805500,-0.004616243,-0.00462693,9231.440039,9240.51748,32.73452742,207.3822448,-85.75,0.023643807,48.27495202,24.1107545,8.749778765,299.4865465,0.032565098,0.014117735,3,1,0.73231167,1
5/13/2020,9383.549805,9584.5,9351.099609,9584.200195,846400,0.020333713,0.020129743,9253.969922,9260.00249,76.36831885,201.2017067,2.649414063,0.02434815,52.15232102,28.53469255,8.471149588,305.8053785,0.032589519,0.014117735,3,-1,0.06709099,0
5/14/2020,9142.75,9281.099609,9119.75,9213.950195,602600,-0.025661909,-0.02599692,9242.709961,9270.875,89.51005341,187.5771333,-410.5996094,0.024694879,47.24144866,14.7330191,7.888255391,302.8049804,0.033119683,0.014117735,3,-1,0.093921416,0
5/15/2020,9136.849609,9182.400391,9050,9182.400391,575900,-0.000645363,-0.000645571,9219.779883,9278.07749,100.6831732,178.9027833,-723.0507813,0.021300601,47.12435329,5.18854429,7.517629116,290.633224,0.03180891,0.014117735,3,-1,0.23652743,0
5/18/2020,8823.25,9158.299805,8806.75,9158.299805,773000,-0.03432251,-0.034925361,9136.589844,9255.90249,201.7450693,205.8388528,-470.25,0.015808864,41.26939208,-20.83573479,8.670225161,294.9844083,0.033432625,0.014117735,3,1,0.87893194,1
5/19/2020,8879.099609,9030.349609,8855.299805,8961.700195,762200,0.006329823,0.006309874,9073.099805,9236.76499,226.580775,222.3845884,-326.5,0.016106975,42.63631791,-32.20012532,9.386562723,288.7069227,0.032515338,0.014117735,3,1,0.89265156,1
5/20/2020,9066.549805,9093.799805,8875.349609,8889.150391,622300,0.021111397,0.020891639,9009.699805,9241.019971,149.0983656,218.0136,-204.3505859,0.017664733,47.0876306,-25.30840903,9.197831971,283.688585,0.031289585,0.014117735,3,1,0.72427297,1
5/21/2020,9106.25,9178.549805,9056.099609,9079.450195,631500,0.004378754,0.004369196,9002.399805,9236.96748,141.6637094,219.8106004,-92.79980469,0.017648917,48.0078269,-16.70677067,9.277714667,272.1715572,0.029888435,0.014117735,3,-1,0.13858245,0
5/22/2020,9039.25,9149.599609,8968.549805,9067.900391,675800,-0.007357584,-0.007384785,8982.879883,9223.234961,124.1475698,223.3028612,-212.25,0.017591516,46.53691158,-14.25557746,9.439148298,265.6628606,0.029389923,0.014117735,3,-1,0.2342139,0
5/26/2020,9029.049805,9161.650391,8996.650391,9099.75,655000,-0.001128434,-0.001129071,9024.039844,9216.967432,86.35642227,227.0640098,-210.1503906,0.017592708,46.30430853,-12.13053753,9.604661071,258.4726562,0.028626784,0.014117735,3,1,0.76141304,1
5/27/2020,9314.950195,9334,9004.25,9082.200195,763500,0.031664505,0.031173522,9111.209961,9218.599951,117.7473366,227.6750024,118.4003906,0.020525886,53.34347412,8.602773336,9.628800196,263.5638951,0.028294719,0.014117735,3,1,0.9384453,1
5/28/2020,9490.099609,9511.25,9336.5,9364.950195,837900,0.018803044,0.018628451,9195.919922,9224.059912,200.7122878,233.0187067,106.5498047,0.020374737,57.05752175,32.82503746,9.848962102,258.7593172,0.027266238,0.014117735,1,1,0.8542094,1
5/29/2020,9580.299805,9598.849609,9376.900391,9422.200195,967000,0.009504663,0.009459778,9290.729883,9225.407422,252.9348957,235.0918607,437.5498047,0.018109742,58.87321831,52.46826319,9.935136362,256.1300244,0.026735074,0.014117735,1,1,0.9591713,1
6/1/2020,9826.150391,9931.599609,9706.950195,9726.849609,794200,0.025662097,0.025338353,9448.109961,9223.719922,298.116919,230.3714746,689.3007813,0.019108612,63.41389701,78.02536454,9.737430908,262.9278659,0.026757973,0.014117735,1,1,0.9347477,1
